Id,SalePrice
1461,111608.46849758018
1462,148350.77163221643
1463,165570.64406873306
1464,177556.25966423814
1465,179096.08246244787
1466,169536.4411265706
1467,166303.08618338592
1468,163475.89091221365
1469,198422.85728625933
1470,121317.28016603208
1471,188743.18458895414
1472,98980.8699088004
1473,90226.31955585
1474,147943.23468749426
1475,119149.98080567314
1476,372047.3824344404
1477,269225.07421359664
1478,293441.99017677124
1479,316766.5098085625
1480,485543.3874515609
1481,327626.1496864981
1482,218925.0178123854
1483,168826.30578224003
1484,156225.8835241593
1485,196449.2399783707
1486,195051.19397815326
1487,311672.8703894274
1488,245799.62194242046
1489,196287.10932674468
1490,219357.28443835856
1491,188003.97341610063
1492,106975.61787095474
1493,167184.6655802308
1494,302445.1103631806
1495,289826.5883986814
1496,216350.3015694165
1497,197716.8004240931
1498,156482.4290952791
1499,166447.0550749111
1500,159072.0767485905
1501,181563.85990361383
1502,145402.6669776524
1503,272495.92375088745
1504,250040.20114899392
1505,219221.0722138589
1506,196754.1108479331
1507,251810.359550428
1508,198157.28809834845
1509,158231.3456535128
1510,153989.22147920067
1511,146870.15334876193
1512,164948.8577054797
1513,147688.79601000133
1514,172181.51535276382
1515,154986.41921326434
1516,153417.66618415774
1517,160527.18414989428
1518,152918.4399579251
1519,193496.38839782096
1520,134210.59638005166
1521,124785.39124321386
1522,184650.20021556065
1523,103014.5615575897
1524,120176.13618775441
1525,116841.97556664515
1526,109095.38034981611
1527,126436.34471446973
1528,147908.72470521842
1529,136424.59563521063
1530,167006.43777064828
1531,113039.694692146
1532,105494.5148444609
1533,145978.52826786024
1534,115654.98961235819
1535,136569.0730723481
1536,103729.25396154718
1537,67143.64598640539
1538,147842.84391446432
1539,205339.70138259925
1540,94107.24937474247
1541,141624.73804541543
1542,141100.0402973362
1543,207397.50498851304
1544,98773.55538363094
1545,121734.33797136697
1546,153974.90766983794
1547,136917.11744922042
1548,131345.83693411696
1549,117149.21154253087
1550,136037.21250199783
1551,130167.91527559052
1552,114906.13805988128
1553,136947.4690535366
1554,122580.60756795335
1555,176975.70715479247
1556,130196.53233832904
1557,117255.08941125096
1558,97703.37019438735
1559,100250.94901200483
1560,145302.2167471779
1561,157308.72371354586
1562,128696.86872899004
1563,124968.29910638527
1564,151357.58220530814
1565,137926.9189394543
1566,223259.53595302638
1567,101862.04953289717
1568,224891.4888805516
1569,134647.49764710615
1570,144394.18147480153
1571,104301.03561892855
1572,133607.16852526972
1573,235108.529002129
1574,133560.18525830086
1575,216274.8001733201
1576,216536.52346503537
1577,174916.24065178607
1578,155609.49551661641
1579,144788.36271355255
1580,192651.60466901623
1581,154211.37371794388
1582,135849.43479505173
1583,288895.14096064586
1584,232293.82550612814
1585,144827.99005337467
1586,83311.87876808851
1587,91643.67963433117
1588,129128.32306822516
1589,84638.91701429045
1590,134135.04554127774
1591,79309.32103952902
1592,131256.23193362518
1593,128377.54866591109
1594,145847.22819966485
1595,128010.04656812496
1596,224997.8726458072
1597,199593.65236209083
1598,234738.28020268132
1599,169916.8697195318
1600,165559.2237687009
1601,47249.803861299246
1602,116306.84813742396
1603,64788.7259986555
1604,261561.60638120424
1605,240974.36895083095
1606,165600.96802992906
1607,210086.37862727494
1608,204801.94473380846
1609,195810.58995597623
1610,152940.3720522571
1611,157955.58368824818
1612,159258.26503859332
1613,157628.94833291823
1614,124159.0712945851
1615,74852.00347124957
1616,75408.72284035655
1617,83605.8154215898
1618,111279.36675189644
1619,131511.9366116625
1620,197747.93671969685
1621,135281.5845204984
1622,127109.32871983097
1623,264369.2550425089
1624,205981.80397467792
1625,121500.18752048862
1626,181584.40779710675
1627,171752.03446761158
1628,253238.3011751488
1629,183384.18917513185
1630,441266.431233058
1631,221479.09725224003
1632,270475.72207560425
1633,175198.42682581177
1634,181726.29163545824
1635,179773.67886610338
1636,153710.5667893096
1637,182923.29380940882
1638,191953.50058788547
1639,182466.14678207642
1640,269721.7621168832
1641,188102.89694605762
1642,264491.6928778879
1643,239906.2819469694
1644,237201.91301135888
1645,183727.49128391736
